image1,image2,level_0,level_1,level_2,level_3,level_4,level_5,level_6,model,category1,category2
badlands_0.pkl,badlands_150.pkl,0.43207267,0.3583477,0.27986014,0.26692563,0.2262196,0.55256516,0.6420761,VGG,badlands,badlands
badlands_0.pkl,badlands_151.pkl,0.53134596,0.40104067,0.31066704,0.31165907,0.3645318,0.6545327,0.72572386,VGG,badlands,badlands
badlands_0.pkl,badlands_152.pkl,0.5001637,0.38273787,0.3037662,0.3539704,0.4843545,0.671147,0.67043555,VGG,badlands,badlands
badlands_0.pkl,badlands_153.pkl,0.40874782,0.3697886,0.2876048,0.30916142,0.3984927,0.7201412,0.7664335,VGG,badlands,badlands
badlands_0.pkl,badlands_154.pkl,0.49879345,0.3701322,0.27950704,0.30248374,0.34547716,0.6268361,0.6554204,VGG,badlands,badlands
badlands_0.pkl,badlands_155.pkl,0.44389877,0.3682931,0.28133595,0.24526629,0.26465672,0.50654125,0.5676203,VGG,badlands,badlands
badlands_0.pkl,badlands_156.pkl,0.4131887,0.3558827,0.26291928,0.23734665,0.23183084,0.5381732,0.5951424,VGG,badlands,badlands
badlands_0.pkl,badlands_157.pkl,0.4893796,0.3812265,0.2959116,0.27076352,0.24651076,0.60570544,0.67708427,VGG,badlands,badlands
badlands_0.pkl,badlands_158.pkl,0.3918882,0.3013483,0.2633074,0.2844764,0.3250997,0.5305738,0.49349523,VGG,badlands,badlands
badlands_0.pkl,badlands_159.pkl,0.5026494,0.40343532,0.31844372,0.33262864,0.35648727,0.69214463,0.7444029,VGG,badlands,badlands
badlands_0.pkl,badlands_16.pkl,0.44731238,0.35767704,0.25266004,0.20715043,0.19613549,0.5347297,0.6080826,VGG,badlands,badlands
badlands_0.pkl,badlands_160.pkl,0.4164791,0.36003533,0.27443144,0.22266646,0.21860962,0.5446914,0.6114818,VGG,badlands,badlands
badlands_0.pkl,badlands_161.pkl,0.52442014,0.36085814,0.27294025,0.2780409,0.3239913,0.5818678,0.60463715,VGG,badlands,badlands
badlands_0.pkl,badlands_162.pkl,0.4216398,0.35293454,0.26725915,0.21622251,0.21522886,0.5439474,0.6325048,VGG,badlands,badlands
badlands_0.pkl,badlands_163.pkl,0.5020441,0.38787693,0.31684256,0.37819344,0.4865899,0.6823425,0.7016319,VGG,badlands,badlands
badlands_0.pkl,badlands_164.pkl,0.41378593,0.36797956,0.26784968,0.1899707,0.15993047,0.43584448,0.4794851,VGG,badlands,badlands
badlands_0.pkl,badlands_165.pkl,0.44273287,0.3695177,0.28457254,0.24436685,0.25846177,0.5521489,0.5897789,VGG,badlands,badlands
badlands_0.pkl,badlands_166.pkl,0.46989292,0.39235264,0.3123054,0.3412271,0.42069653,0.72177416,0.7617367,VGG,badlands,badlands
badlands_0.pkl,badlands_167.pkl,0.4461045,0.3766104,0.28316766,0.2486567,0.25111693,0.6133982,0.6456348,VGG,badlands,badlands
badlands_0.pkl,badlands_168.pkl,0.41736102,0.35507825,0.2763162,0.24287766,0.2282718,0.5413555,0.58500874,VGG,badlands,badlands
badlands_0.pkl,badlands_169.pkl,0.452406,0.34774086,0.26103556,0.27608514,0.2955327,0.5510465,0.6170614,VGG,badlands,badlands
badlands_0.pkl,badlands_17.pkl,0.4559317,0.4030471,0.3215963,0.3396523,0.39584106,0.60603344,0.6103334,VGG,badlands,badlands
badlands_0.pkl,badlands_170.pkl,0.48387122,0.37429067,0.26342526,0.23423465,0.19115293,0.41766185,0.48280627,VGG,badlands,badlands
badlands_0.pkl,badlands_171.pkl,0.4776965,0.38420582,0.2872696,0.29111585,0.36727345,0.6667917,0.7097,VGG,badlands,badlands
badlands_0.pkl,badlands_172.pkl,0.34146312,0.32710618,0.2529311,0.27305105,0.31426635,0.55343056,0.6231436,VGG,badlands,badlands
badlands_0.pkl,badlands_173.pkl,0.4352098,0.35344815,0.2666184,0.25698337,0.35102603,0.57590336,0.61366326,VGG,badlands,badlands
badlands_0.pkl,badlands_174.pkl,0.54278296,0.38472942,0.28676412,0.25406814,0.3179212,0.6464141,0.7316607,VGG,badlands,badlands
badlands_0.pkl,badlands_175.pkl,0.43315312,0.3475832,0.2538221,0.21907757,0.23347032,0.53954655,0.51765656,VGG,badlands,badlands
badlands_0.pkl,badlands_176.pkl,0.42568612,0.34736443,0.25499302,0.2054657,0.14455028,0.37460813,0.42965978,VGG,badlands,badlands
badlands_0.pkl,badlands_177.pkl,0.46909943,0.39085642,0.2996904,0.3105653,0.36860466,0.64688337,0.6863145,VGG,badlands,badlands
badlands_0.pkl,badlands_178.pkl,0.51728433,0.39590743,0.3287379,0.38704193,0.5235355,0.67802733,0.66693676,VGG,badlands,badlands
badlands_0.pkl,badlands_179.pkl,0.46853364,0.37100708,0.27217028,0.26233917,0.26608652,0.55229235,0.6145917,VGG,badlands,badlands
badlands_0.pkl,badlands_18.pkl,0.5269215,0.40531707,0.3325644,0.36147118,0.3609247,0.577254,0.60268813,VGG,badlands,badlands
badlands_0.pkl,badlands_180.pkl,0.4385137,0.33809954,0.25270653,0.23568437,0.22240601,0.5526665,0.6347817,VGG,badlands,badlands
badlands_0.pkl,badlands_181.pkl,0.5375906,0.40358025,0.3068249,0.33346826,0.45690024,0.74036705,0.80677056,VGG,badlands,badlands
badlands_0.pkl,badlands_182.pkl,0.43823436,0.34060538,0.25372717,0.21183985,0.23363914,0.53806555,0.616591,VGG,badlands,badlands
badlands_0.pkl,badlands_183.pkl,0.44215864,0.3630635,0.2632942,0.2367486,0.22903721,0.5516193,0.60974497,VGG,badlands,badlands
badlands_0.pkl,badlands_184.pkl,0.55018425,0.37669098,0.2657412,0.26107025,0.32455382,0.64530534,0.6522933,VGG,badlands,badlands
badlands_0.pkl,badlands_185.pkl,0.4614811,0.37254202,0.2811836,0.25541627,0.2097018,0.47459963,0.48260608,VGG,badlands,badlands
badlands_0.pkl,badlands_186.pkl,0.4392891,0.3782184,0.29586333,0.31377405,0.43835792,0.6893867,0.67828035,VGG,badlands,badlands
badlands_0.pkl,badlands_187.pkl,0.4458372,0.39104426,0.30078584,0.3215223,0.44386372,0.7309407,0.76117873,VGG,badlands,badlands
badlands_0.pkl,badlands_188.pkl,0.4895949,0.36027136,0.29598066,0.28866214,0.3246304,0.63955075,0.71008414,VGG,badlands,badlands
badlands_0.pkl,badlands_189.pkl,0.47631046,0.37367523,0.3044892,0.31269774,0.36424136,0.6580173,0.6800174,VGG,badlands,badlands
badlands_0.pkl,badlands_19.pkl,0.43367612,0.3938698,0.29509887,0.2857399,0.33930123,0.57589054,0.6465814,VGG,badlands,badlands
badlands_0.pkl,badlands_190.pkl,0.45091563,0.37742454,0.2998593,0.27781224,0.2689323,0.59165335,0.64112943,VGG,badlands,badlands
badlands_0.pkl,badlands_191.pkl,0.375673,0.32110336,0.23228084,0.17861152,0.21505485,0.53771544,0.59387606,VGG,badlands,badlands
badlands_0.pkl,badlands_192.pkl,0.46258783,0.37403893,0.29148293,0.30191258,0.2522278,0.5487872,0.62563133,VGG,badlands,badlands
badlands_0.pkl,badlands_193.pkl,0.52204144,0.40630186,0.32182044,0.34874836,0.45738608,0.7225534,0.794646,VGG,badlands,badlands
badlands_0.pkl,badlands_194.pkl,0.5401163,0.3954874,0.29708654,0.29237452,0.37769338,0.57034796,0.6143303,VGG,badlands,badlands
badlands_0.pkl,badlands_195.pkl,0.45192093,0.34730688,0.26462546,0.25734696,0.22310162,0.4425704,0.49051875,VGG,badlands,badlands
badlands_0.pkl,badlands_196.pkl,0.49552268,0.37020212,0.26748127,0.22538222,0.223072,0.52063596,0.5852262,VGG,badlands,badlands
badlands_0.pkl,badlands_197.pkl,0.4739315,0.3684006,0.26795954,0.25465804,0.23357667,0.6080866,0.7433608,VGG,badlands,badlands
badlands_0.pkl,badlands_198.pkl,0.46275026,0.3521406,0.2588001,0.2494331,0.2584018,0.5761947,0.6457936,VGG,badlands,badlands
badlands_0.pkl,badlands_199.pkl,0.45779502,0.38422155,0.28670245,0.27861905,0.28219214,0.627293,0.71827984,VGG,badlands,badlands
badlands_0.pkl,badlands_2.pkl,0.44416028,0.35885406,0.2839265,0.26696432,0.25823957,0.5317296,0.57588387,VGG,badlands,badlands
badlands_0.pkl,badlands_20.pkl,0.48956105,0.38515764,0.32055342,0.3227805,0.344771,0.5873106,0.6276961,VGG,badlands,badlands
badlands_0.pkl,badlands_200.pkl,0.39515936,0.3223583,0.24088487,0.18848607,0.23288207,0.50486,0.5695921,VGG,badlands,badlands
badlands_0.pkl,badlands_201.pkl,0.47176996,0.3688143,0.28326267,0.24989477,0.16940764,0.48983747,0.5481427,VGG,badlands,badlands
badlands_0.pkl,badlands_202.pkl,0.48135182,0.38177562,0.29905292,0.2902543,0.32065699,0.62947774,0.72079253,VGG,badlands,badlands
badlands_0.pkl,badlands_203.pkl,0.40586472,0.32393843,0.24468005,0.25108618,0.2931827,0.622989,0.6774005,VGG,badlands,badlands
badlands_0.pkl,badlands_204.pkl,0.46035555,0.37641567,0.2822541,0.23924449,0.096223116,0.45935905,0.512043,VGG,badlands,badlands
badlands_0.pkl,badlands_205.pkl,0.5265877,0.3848237,0.30162594,0.3086567,0.3808041,0.6186285,0.6703064,VGG,badlands,badlands
badlands_0.pkl,badlands_206.pkl,0.41474992,0.3751993,0.28638846,0.3075943,0.28507096,0.55971795,0.6268457,VGG,badlands,badlands
badlands_0.pkl,badlands_207.pkl,0.23198265,0.2353847,0.19909987,0.23434371,0.34698606,0.60725665,0.63599664,VGG,badlands,badlands
badlands_0.pkl,badlands_208.pkl,0.5052569,0.38508034,0.30267578,0.29548803,0.31179732,0.6651701,0.7242731,VGG,badlands,badlands
badlands_0.pkl,badlands_209.pkl,0.4305342,0.3571653,0.28157204,0.23907085,0.22196454,0.4778725,0.51265275,VGG,badlands,badlands
badlands_0.pkl,badlands_21.pkl,0.41000128,0.32794905,0.25479856,0.26974654,0.29933527,0.6176274,0.6962875,VGG,badlands,badlands
badlands_0.pkl,badlands_210.pkl,0.47713116,0.37933198,0.27154118,0.25824383,0.27254957,0.59998906,0.67022425,VGG,badlands,badlands
badlands_0.pkl,badlands_211.pkl,0.4962334,0.3870784,0.3011112,0.29836452,0.29493374,0.5468437,0.5647203,VGG,badlands,badlands
badlands_0.pkl,badlands_212.pkl,0.51484793,0.39020285,0.29352164,0.30422843,0.34946412,0.5607474,0.60172015,VGG,badlands,badlands
badlands_0.pkl,badlands_213.pkl,0.5186242,0.3951787,0.29772615,0.33768255,0.32631013,0.62661684,0.68930775,VGG,badlands,badlands
badlands_0.pkl,badlands_214.pkl,0.50983894,0.39363217,0.30142322,0.30772796,0.2819762,0.5978508,0.61813635,VGG,badlands,badlands
badlands_0.pkl,badlands_215.pkl,0.43175444,0.3606106,0.2697029,0.23203102,0.20752132,0.4686053,0.50111794,VGG,badlands,badlands
badlands_0.pkl,badlands_216.pkl,0.50492024,0.36142504,0.28446537,0.30454016,0.36883116,0.6517098,0.69611955,VGG,badlands,badlands
badlands_0.pkl,badlands_217.pkl,0.44393653,0.36158943,0.264318,0.24392551,0.23449463,0.54562193,0.595618,VGG,badlands,badlands
badlands_0.pkl,badlands_218.pkl,0.4278306,0.3585657,0.27980047,0.2353141,0.19074509,0.49868345,0.5707678,VGG,badlands,badlands
badlands_0.pkl,badlands_219.pkl,0.510186,0.403436,0.31020164,0.35036027,0.39774656,0.6904466,0.75018597,VGG,badlands,badlands
badlands_0.pkl,badlands_22.pkl,0.52314085,0.39962178,0.30681854,0.30314785,0.35680532,0.67115283,0.7009881,VGG,badlands,badlands
badlands_0.pkl,badlands_220.pkl,0.4086489,0.33124083,0.22846363,0.20787236,0.22988552,0.5218119,0.57208353,VGG,badlands,badlands
badlands_0.pkl,badlands_221.pkl,0.4806987,0.3634583,0.29535687,0.34321547,0.42860383,0.6493119,0.634845,VGG,badlands,badlands
badlands_0.pkl,badlands_222.pkl,0.41985828,0.33815345,0.25055352,0.20592448,0.18398425,0.46293527,0.5034041,VGG,badlands,badlands
badlands_0.pkl,badlands_223.pkl,0.41137636,0.35699576,0.28265288,0.27308252,0.35408637,0.5329825,0.58613837,VGG,badlands,badlands
badlands_0.pkl,badlands_224.pkl,0.43584305,0.38444936,0.30790305,0.3353693,0.38651374,0.6712169,0.7386919,VGG,badlands,badlands
badlands_0.pkl,badlands_225.pkl,0.53806376,0.39939052,0.29326907,0.26004463,0.24988902,0.5115598,0.5282814,VGG,badlands,badlands
badlands_0.pkl,badlands_226.pkl,0.48517686,0.3760801,0.2750848,0.27910334,0.25839204,0.58942145,0.7076616,VGG,badlands,badlands
badlands_0.pkl,badlands_227.pkl,0.5227842,0.4051066,0.3286774,0.37366065,0.5634787,0.77864355,0.7856128,VGG,badlands,badlands
badlands_0.pkl,badlands_228.pkl,0.56792164,0.42825204,0.3397177,0.35724592,0.34854445,0.5502428,0.55930936,VGG,badlands,badlands
badlands_0.pkl,badlands_229.pkl,0.47571677,0.39257145,0.3084962,0.29420692,0.27285194,0.6021464,0.66370666,VGG,badlands,badlands
badlands_0.pkl,badlands_23.pkl,0.46313882,0.3768354,0.28712448,0.28107128,0.18685879,0.37137222,0.37856066,VGG,badlands,badlands
badlands_0.pkl,badlands_230.pkl,0.43091482,0.38062358,0.30184698,0.2903753,0.32328948,0.6536926,0.73440176,VGG,badlands,badlands
badlands_0.pkl,badlands_231.pkl,0.42029518,0.35965782,0.28656834,0.28057986,0.26249936,0.52603805,0.57569295,VGG,badlands,badlands
badlands_0.pkl,badlands_24.pkl,0.5367541,0.39854017,0.3052627,0.30561292,0.34832695,0.6092784,0.62050104,VGG,badlands,badlands
badlands_0.pkl,badlands_25.pkl,0.5144895,0.37994596,0.2856434,0.27180707,0.33608675,0.6216887,0.66832656,VGG,badlands,badlands
badlands_0.pkl,badlands_26.pkl,0.5058745,0.38331312,0.28435546,0.25341672,0.24903236,0.5939821,0.6609651,VGG,badlands,badlands
badlands_0.pkl,badlands_27.pkl,0.5082495,0.38545355,0.29514188,0.30530846,0.36490512,0.5874164,0.60889417,VGG,badlands,badlands
badlands_0.pkl,badlands_28.pkl,0.5344381,0.40438908,0.3111488,0.3134832,0.38206193,0.6752907,0.7218682,VGG,badlands,badlands
badlands_0.pkl,badlands_29.pkl,0.43317503,0.36926612,0.2760082,0.26707336,0.23273005,0.5754046,0.5955985,VGG,badlands,badlands
badlands_0.pkl,badlands_3.pkl,0.48768073,0.38218734,0.29447016,0.3088891,0.34401488,0.44740394,0.3964487,VGG,badlands,badlands
badlands_0.pkl,badlands_30.pkl,0.48391995,0.37257951,0.27838248,0.27924728,0.258414,0.58118105,0.6782437,VGG,badlands,badlands
badlands_0.pkl,badlands_31.pkl,0.5329491,0.40870333,0.3286883,0.4307319,0.5434767,0.6826163,0.6660059,VGG,badlands,badlands
badlands_0.pkl,badlands_32.pkl,0.43686718,0.35565567,0.2635447,0.21490769,0.2768442,0.5626116,0.6064977,VGG,badlands,badlands
badlands_0.pkl,badlands_33.pkl,0.40418273,0.33423787,0.27886888,0.3250956,0.41496724,0.66992,0.66981924,VGG,badlands,badlands
badlands_0.pkl,badlands_34.pkl,0.46426898,0.38125455,0.295644,0.27278763,0.2437407,0.47736722,0.54653084,VGG,badlands,badlands
badlands_0.pkl,badlands_35.pkl,0.40433815,0.35776085,0.27576846,0.23049958,0.22573002,0.56544024,0.6984163,VGG,badlands,badlands
badlands_0.pkl,badlands_36.pkl,0.49177825,0.38529328,0.3104935,0.34544766,0.3898073,0.6457179,0.7147871,VGG,badlands,badlands
badlands_0.pkl,badlands_37.pkl,0.50307745,0.39007777,0.2994016,0.3229402,0.37323192,0.6485929,0.66862214,VGG,badlands,badlands
badlands_0.pkl,badlands_38.pkl,0.4795684,0.37404093,0.29007503,0.29972988,0.34095,0.6333803,0.6719446,VGG,badlands,badlands
badlands_0.pkl,badlands_39.pkl,0.4802104,0.3775044,0.30354863,0.31222248,0.449317,0.6741227,0.7011145,VGG,badlands,badlands
badlands_0.pkl,badlands_4.pkl,0.473042,0.37555432,0.28392887,0.2786967,0.30489254,0.59472775,0.6732156,VGG,badlands,badlands
badlands_0.pkl,badlands_40.pkl,0.50117093,0.3682953,0.26970962,0.23388526,0.24477495,0.5164416,0.5723851,VGG,badlands,badlands
badlands_0.pkl,badlands_41.pkl,0.42775866,0.35924605,0.27305973,0.230585,0.24819207,0.5189504,0.52258366,VGG,badlands,badlands
badlands_0.pkl,badlands_42.pkl,0.54063773,0.40226898,0.30783054,0.32301974,0.32469472,0.59836036,0.6304855,VGG,badlands,badlands
badlands_0.pkl,badlands_43.pkl,0.45779806,0.3699516,0.28703266,0.27150178,0.2646068,0.620402,0.6921106,VGG,badlands,badlands
badlands_0.pkl,badlands_44.pkl,0.43424463,0.36382192,0.26948443,0.25693208,0.29790545,0.6153405,0.6704975,VGG,badlands,badlands
badlands_0.pkl,badlands_45.pkl,0.47743693,0.38004324,0.28941983,0.27145016,0.27231923,0.5298773,0.55361027,VGG,badlands,badlands
badlands_0.pkl,badlands_46.pkl,0.48711255,0.39243263,0.29414463,0.270185,0.3100561,0.53056693,0.5875608,VGG,badlands,badlands
badlands_0.pkl,badlands_47.pkl,0.4380565,0.36316502,0.28160778,0.28727078,0.34289917,0.66866946,0.7448051,VGG,badlands,badlands
badlands_0.pkl,badlands_48.pkl,0.39568692,0.35568845,0.27394497,0.27652758,0.28632855,0.51676303,0.5852213,VGG,badlands,badlands
badlands_0.pkl,badlands_49.pkl,0.50016284,0.3976466,0.30809996,0.30529386,0.34162644,0.5849289,0.59572005,VGG,badlands,badlands
badlands_0.pkl,badlands_5.pkl,0.48073882,0.37971553,0.3324,0.42306834,0.54330915,0.7308787,0.7499273,VGG,badlands,badlands
badlands_0.pkl,badlands_50.pkl,0.5271213,0.38889784,0.31909713,0.36806974,0.4468494,0.7212925,0.7619011,VGG,badlands,badlands
badlands_0.pkl,badlands_51.pkl,0.48261648,0.37909967,0.29108346,0.2705915,0.24247639,0.50844806,0.6227196,VGG,badlands,badlands
badlands_0.pkl,badlands_52.pkl,0.4228685,0.35488355,0.27344257,0.26467443,0.34797236,0.61855847,0.67459095,VGG,badlands,badlands
badlands_0.pkl,badlands_53.pkl,0.42987928,0.3433308,0.26766384,0.2541204,0.33258244,0.6165376,0.6696867,VGG,badlands,badlands
badlands_0.pkl,badlands_54.pkl,0.38869703,0.3212541,0.25562757,0.22904137,0.2232645,0.57126945,0.62727475,VGG,badlands,badlands
badlands_0.pkl,badlands_55.pkl,0.45714065,0.37510106,0.2897279,0.29551768,0.36468747,0.65579164,0.6980095,VGG,badlands,badlands
badlands_0.pkl,badlands_56.pkl,0.4624291,0.36754358,0.2761845,0.26325637,0.3212373,0.60611176,0.6491438,VGG,badlands,badlands
badlands_0.pkl,badlands_57.pkl,0.5195997,0.36299977,0.28170764,0.27141532,0.25940424,0.51948094,0.58511275,VGG,badlands,badlands
badlands_0.pkl,badlands_58.pkl,0.41857076,0.34972355,0.28200668,0.29142216,0.37336218,0.67376375,0.739769,VGG,badlands,badlands
badlands_0.pkl,badlands_59.pkl,0.4737857,0.38887578,0.3059644,0.33215016,0.36120808,0.58503675,0.61631477,VGG,badlands,badlands
badlands_0.pkl,badlands_6.pkl,0.4440001,0.37016508,0.2767215,0.23826367,0.21808246,0.45669466,0.52125657,VGG,badlands,badlands
