"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-took part in a tapseq task","UPDATE-took part in a tapseq task","CURRENT-temp qualification","UPDATE-temp qualification","CURRENT-participated in the past","UPDATE-participated in the past","CURRENT-eligible for testing 1 week birds","UPDATE-eligible for testing 1 week birds","CURRENT-eligible for next step memory rep","UPDATE-eligible for next step memory rep","CURRENT-eligible for memory testing 1 week","UPDATE-eligible for memory testing 1 week","CURRENT-completed working memory test","UPDATE-completed working memory test","CURRENT-completed multicategory memory test","UPDATE-completed multicategory memory test","CURRENT-completed memory rep","UPDATE-completed memory rep","CURRENT-completed memory encoding 24h","UPDATE-completed memory encoding 24h","CURRENT-completed encoding successfully ","UPDATE-completed encoding successfully ","CURRENT-completed encoding multicategory memory test","UPDATE-completed encoding multicategory memory test","CURRENT-completed day5","UPDATE-completed day5","CURRENT-completed day4","UPDATE-completed day4","CURRENT-completed day3","UPDATE-completed day3","CURRENT-completed day2","UPDATE-completed day2","CURRENT-completed day1","UPDATE-completed day1","CURRENT-completed birds memory rep","UPDATE-completed birds memory rep","CURRENT-Completed My Experiment Already","UPDATE-Completed My Experiment Already","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A10BM9M5Q8J6K0","https://gamma-requester.mturk.com/workers/A10BM9M5Q8J6K0","4","4","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A10FSZLB75VZ14","https://gamma-requester.mturk.com/workers/A10FSZLB75VZ14","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A10G580H9CWW3V","https://gamma-requester.mturk.com/workers/A10G580H9CWW3V","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","Never Blocked","",""
"A10HW8JXM17XLD","https://gamma-requester.mturk.com/workers/A10HW8JXM17XLD","7","7","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","1","","1","","100","","","","","","1","","1","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A10IUXCZBNYUXC","https://gamma-requester.mturk.com/workers/A10IUXCZBNYUXC","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A10JXOU89D5RXR","https://gamma-requester.mturk.com/workers/A10JXOU89D5RXR","5","5","100.00%","1","1","100.00%","1","1","100.00%","1","","","","","","","","","","","","1","","","","100","","","","1","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A10LHWALI4BZPC","https://gamma-requester.mturk.com/workers/A10LHWALI4BZPC","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A10MJBFPM87WY","https://gamma-requester.mturk.com/workers/A10MJBFPM87WY","2","1","50.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A10NKDFS29XEBT","https://gamma-requester.mturk.com/workers/A10NKDFS29XEBT","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A10T0161B70BXP","https://gamma-requester.mturk.com/workers/A10T0161B70BXP","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A10TTRTJKYVB0Q","https://gamma-requester.mturk.com/workers/A10TTRTJKYVB0Q","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A10UKI982NFRGM","https://gamma-requester.mturk.com/workers/A10UKI982NFRGM","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A10XFCECSD87YG","https://gamma-requester.mturk.com/workers/A10XFCECSD87YG","3","3","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","1","","1","","","","","","Never Blocked","",""
"A10YV3PH9V9KQP","https://gamma-requester.mturk.com/workers/A10YV3PH9V9KQP","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A10ZJQC7W1QHIO","https://gamma-requester.mturk.com/workers/A10ZJQC7W1QHIO","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A110BZSDZN7E16","https://gamma-requester.mturk.com/workers/A110BZSDZN7E16","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A110KENBXU7SUJ","https://gamma-requester.mturk.com/workers/A110KENBXU7SUJ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A110TX2PKWIQ2O","https://gamma-requester.mturk.com/workers/A110TX2PKWIQ2O","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1122EUMFXHF38","https://gamma-requester.mturk.com/workers/A1122EUMFXHF38","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11246G6L1GMQB","https://gamma-requester.mturk.com/workers/A11246G6L1GMQB","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1143GKN5T807X","https://gamma-requester.mturk.com/workers/A1143GKN5T807X","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A1160COTUR26JZ","https://gamma-requester.mturk.com/workers/A1160COTUR26JZ","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A11BAIN13IGWCW","https://gamma-requester.mturk.com/workers/A11BAIN13IGWCW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11BJE0D8B71FL","https://gamma-requester.mturk.com/workers/A11BJE0D8B71FL","1","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11BQAB549UAEG","https://gamma-requester.mturk.com/workers/A11BQAB549UAEG","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11CY37O9P73HW","https://gamma-requester.mturk.com/workers/A11CY37O9P73HW","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A11ED29FYJKV2E","https://gamma-requester.mturk.com/workers/A11ED29FYJKV2E","2","2","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","1","","1","","","","","","Never Blocked","",""
"A11EXIB1MVBZFJ","https://gamma-requester.mturk.com/workers/A11EXIB1MVBZFJ","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11F3MA5FWH6SJ","https://gamma-requester.mturk.com/workers/A11F3MA5FWH6SJ","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","1","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A11FFJZ0C984W4","https://gamma-requester.mturk.com/workers/A11FFJZ0C984W4","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A11J9UQ036KJA1","https://gamma-requester.mturk.com/workers/A11J9UQ036KJA1","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A11KJXGGUJ15QL","https://gamma-requester.mturk.com/workers/A11KJXGGUJ15QL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A11MOA9HW11EP1","https://gamma-requester.mturk.com/workers/A11MOA9HW11EP1","3","3","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11N3TM268LQ12","https://gamma-requester.mturk.com/workers/A11N3TM268LQ12","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11OGIKK5UL6QP","https://gamma-requester.mturk.com/workers/A11OGIKK5UL6QP","3","3","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","1","","1","","1","","","","","","Never Blocked","",""
"A11R31H4YHL2Z7","https://gamma-requester.mturk.com/workers/A11R31H4YHL2Z7","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A11S8IAAVDXCUS","https://gamma-requester.mturk.com/workers/A11S8IAAVDXCUS","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A11SQNQMS0S5WQ","https://gamma-requester.mturk.com/workers/A11SQNQMS0S5WQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11TPUPFP2S4MK","https://gamma-requester.mturk.com/workers/A11TPUPFP2S4MK","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A11VIIKMLHTBRG","https://gamma-requester.mturk.com/workers/A11VIIKMLHTBRG","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A11W7YCD50IGHD","https://gamma-requester.mturk.com/workers/A11W7YCD50IGHD","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A11YJE9ACM2FJC","https://gamma-requester.mturk.com/workers/A11YJE9ACM2FJC","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A122LRCSBAD6DC","https://gamma-requester.mturk.com/workers/A122LRCSBAD6DC","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A1241KHV9VEGC4","https://gamma-requester.mturk.com/workers/A1241KHV9VEGC4","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A124AKGRZFQ8N9","https://gamma-requester.mturk.com/workers/A124AKGRZFQ8N9","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A129Y082RKJN6V","https://gamma-requester.mturk.com/workers/A129Y082RKJN6V","1","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12ABIEIB85R9U","https://gamma-requester.mturk.com/workers/A12ABIEIB85R9U","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12B9W69X0BQBF","https://gamma-requester.mturk.com/workers/A12B9W69X0BQBF","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12FWSJX9VPHAN","https://gamma-requester.mturk.com/workers/A12FWSJX9VPHAN","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A12H7ZIWLHCRRF","https://gamma-requester.mturk.com/workers/A12H7ZIWLHCRRF","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A12J4IRF5Z06BT","https://gamma-requester.mturk.com/workers/A12J4IRF5Z06BT","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A12K1ADYMRSWMJ","https://gamma-requester.mturk.com/workers/A12K1ADYMRSWMJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12KEVAHN5P4WU","https://gamma-requester.mturk.com/workers/A12KEVAHN5P4WU","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12NBGVI9QN3DQ","https://gamma-requester.mturk.com/workers/A12NBGVI9QN3DQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12NDIK7C4TFPC","https://gamma-requester.mturk.com/workers/A12NDIK7C4TFPC","3","2","66.67%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","1","","1","","100","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12NT768CR36E5","https://gamma-requester.mturk.com/workers/A12NT768CR36E5","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12O0RRD0YT6AD","https://gamma-requester.mturk.com/workers/A12O0RRD0YT6AD","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","Never Blocked","",""
"A12PUQIBXRBOXV","https://gamma-requester.mturk.com/workers/A12PUQIBXRBOXV","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A12T6G6Z9SE5FY","https://gamma-requester.mturk.com/workers/A12T6G6Z9SE5FY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12TWJFR4B22X4","https://gamma-requester.mturk.com/workers/A12TWJFR4B22X4","2","1","50.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A12TZ1W76AGOF9","https://gamma-requester.mturk.com/workers/A12TZ1W76AGOF9","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A12UOIO3KBRF7M","https://gamma-requester.mturk.com/workers/A12UOIO3KBRF7M","3","3","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","1","","1","","1","","","","","","Never Blocked","",""
"A12VDN3TJJCAQQ","https://gamma-requester.mturk.com/workers/A12VDN3TJJCAQQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A12X8RUSITV7RU","https://gamma-requester.mturk.com/workers/A12X8RUSITV7RU","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A12YK5TFLVVM0K","https://gamma-requester.mturk.com/workers/A12YK5TFLVVM0K","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13221ERGSNSP2","https://gamma-requester.mturk.com/workers/A13221ERGSNSP2","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A134K8O4EOZ45W","https://gamma-requester.mturk.com/workers/A134K8O4EOZ45W","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A136K4YZY2OFTV","https://gamma-requester.mturk.com/workers/A136K4YZY2OFTV","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A137V1J5GNNZTH","https://gamma-requester.mturk.com/workers/A137V1J5GNNZTH","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13B52O6OQBPO","https://gamma-requester.mturk.com/workers/A13B52O6OQBPO","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A13CAAOJ5GP4UQ","https://gamma-requester.mturk.com/workers/A13CAAOJ5GP4UQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A13CXQGLSH6QY8","https://gamma-requester.mturk.com/workers/A13CXQGLSH6QY8","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A13DHPKBQXN9R7","https://gamma-requester.mturk.com/workers/A13DHPKBQXN9R7","5","5","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","1","","1","","1","","1","","","","","","Never Blocked","",""
"A13FUEPWBCLBUY","https://gamma-requester.mturk.com/workers/A13FUEPWBCLBUY","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A13G7ES1XTH5YG","https://gamma-requester.mturk.com/workers/A13G7ES1XTH5YG","4","4","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","1","","1","","1","","","","","","Never Blocked","",""
"A13G9JEAEZQPUG","https://gamma-requester.mturk.com/workers/A13G9JEAEZQPUG","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A13H9NI9SOJ868","https://gamma-requester.mturk.com/workers/A13H9NI9SOJ868","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13JTA4FWDNNC7","https://gamma-requester.mturk.com/workers/A13JTA4FWDNNC7","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13OVBVPYV74T4","https://gamma-requester.mturk.com/workers/A13OVBVPYV74T4","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","","","Never Blocked","",""
"A13RO1VQ1RMALX","https://gamma-requester.mturk.com/workers/A13RO1VQ1RMALX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13UMY3NL33676","https://gamma-requester.mturk.com/workers/A13UMY3NL33676","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A13WTEQ06V3B6D","https://gamma-requester.mturk.com/workers/A13WTEQ06V3B6D","2","2","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
"A13Y5SUT236JE4","https://gamma-requester.mturk.com/workers/A13Y5SUT236JE4","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A13YC8K3I7R52B","https://gamma-requester.mturk.com/workers/A13YC8K3I7R52B","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A13Z2ERE65VKFW","https://gamma-requester.mturk.com/workers/A13Z2ERE65VKFW","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","1","","","","","","Never Blocked","",""
"A140CEAA0194YY","https://gamma-requester.mturk.com/workers/A140CEAA0194YY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A141BEGMEHN31L","https://gamma-requester.mturk.com/workers/A141BEGMEHN31L","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A141JL6MLG3O45","https://gamma-requester.mturk.com/workers/A141JL6MLG3O45","1","1","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A142FFFX25RI2B","https://gamma-requester.mturk.com/workers/A142FFFX25RI2B","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A143XRCI1YXAFE","https://gamma-requester.mturk.com/workers/A143XRCI1YXAFE","1","1","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","","","","","","","100","","","","","","","","0","","0","","","","","","","","","","1","","Never Blocked","",""
