demo_arrow_rt,demo_arrow_correct,demo_demo_accuracy,demo_RT_overall_mean,demo_RT_incorrect_mean,demo_RT_correct_mean,encoding_arrow_mean_rt,encoding_arrow_accuracy,testing_Test_overall_accuracy,testing_RT_overall_mean,testing_RT_incorrect_mean,testing_RT_correct_mean,testing_layer_1_rt,testing_layer_1_accuracy,testing_layer_2_rt,testing_layer_2_accuracy,testing_layer_3_rt,testing_layer_3_accuracy,testing_longest_response_strike,time_gap,worker_ID,batch_number
1.4149,1.0,0.8333333333333334,2.2040166666666665,2.0861,2.2276,1.4507599999999998,1.0,0.6166666666666667,2.8637508474576268,3.2594565217391307,2.844278378378378,2.8053052631578943,0.75,2.90987,0.6,2.873155,0.5,9.0,pilot_one_week,A376AZWIBALRC,1
0.633,1.0,1.0,1.2273333333333334,,1.2273333333333334,0.634,1.0,0.6333333333333333,1.56985,1.6676363636363638,1.513236842105263,1.43055,0.75,1.63355,0.5,1.64545,0.65,6.0,pilot_one_week,A5NE8TWS8ZV7B,1
1.036599999,1.0,0.8333333333333334,1.6325166666666666,2.0956,1.5398999999999998,1.3617399998,1.0,0.6666666666666666,2.1116850000166663,1.8459749999,2.244540000075,2.39572499995,0.7,2.22000000005,0.7,1.7193300000499998,0.6,6.0,pilot_one_week,AUZP4FPD6UTNU,1
0.5551,1.0,0.6666666666666666,1.67615,1.7192500000000002,1.6546,0.61202,1.0,0.6333333333333333,1.632541666666667,1.5766045454545454,1.6649263157894738,1.690365,0.7,1.372525,0.65,1.834735,0.55,3.0,pilot_one_week,A136K4YZY2OFTV,2
1.1574,1.0,0.8333333333333334,2.5075833333333333,2.3027,2.54856,1.1078,0.8,0.7,2.385453333333334,2.274355555555556,2.4330666666666665,2.361985,0.6,2.47001,0.85,2.324365,0.65,5.0,pilot_one_week,A2MV1R6YYOIO30,2
1.302,1.0,0.8333333333333334,3.0935,2.991,3.114,1.168,0.8,0.5833333333333334,2.6663166666666664,2.67752,2.6583142857142854,2.7791,0.75,2.63625,0.5,2.5836,0.5,4.0,pilot_one_week,A2O70SKSNWL8LQ,2
0.9805,1.0,0.6666666666666666,1.6869166666666666,1.63755,1.7116,0.97482,1.0,0.75,2.150335,2.49556,2.03526,2.03193,0.75,2.408125,0.7,2.01095,0.8,4.0,pilot_one_week,A3BM2QI9E6G3KS,2
1.244,1.0,1.0,2.3603333333333336,,2.3603333333333336,0.9066,1.0,0.6833333333333333,2.117233333333333,2.1454736842105264,2.1041463414634145,2.2096,0.7,2.0562,0.6,2.0859,0.75,4.0,pilot_one_week,A3EVLXA6P3XRBU,2
1.0748,1.0,0.8333333333333334,2.705833333333333,4.0659,2.43382,1.0031,0.8,0.6166666666666667,1.7571288135593222,1.870391304347826,2.005083783783784,1.6720684210526315,0.7,1.442415,0.55,2.15265,0.6,4.0,pilot_one_week,A3TI4G63J6VCKV,2
1.2149,1.0,0.6666666666666666,2.6297333333333333,2.71745,2.585875,1.2148600000000005,1.0,0.7,2.3794516666666667,2.2883,2.418516666666666,2.422315,0.65,2.345325,0.75,2.370715,0.7,9.0,pilot_one_week,AQ5CSVCNBPSIJ,2
1.186,1.0,0.5,3.2071666666666663,3.486,2.928333333333333,1.1786,1.0,0.6333333333333333,2.105983333333333,2.1519090909090908,2.0793947368421053,2.1418,0.75,2.10505,0.55,2.0711,0.6,5.0,pilot_one_week,AR390VVG2FJKJ,2
0.8945,1.0,0.6666666666666666,2.3362333333333334,2.2159500000000003,2.396375,1.00054,1.0,0.8333333333333334,1.9467233333333336,1.86474,1.96312,2.242665,0.8,1.76203,0.8,1.835475,0.9,7.0,pilot_one_week,AWRRM9NRX4TZX,2
1.135,1.0,1.0,2.0233999996666667,,2.0233999996666667,1.21407500025,0.8,0.7333333333333333,2.1913616667166664,1.9168625,2.2911795455227275,1.84983000005,0.75,1.7272850001999998,0.75,2.9969699999,0.7,8.0,pilot_same_day,A10FSZLB75VZ14,6
2.7211,1.0,0.6666666666666666,3.792516666666667,3.11855,4.1295,1.95776,1.0,0.8833333333333333,2.995050000000001,3.955971428571429,2.868135849056604,3.09723,0.95,2.63902,0.9,3.2489,0.8,7.0,pilot_same_day,AXTIQHZSLC0FE,6
2.0982,1.0,0.8333333333333334,2.216733333333333,2.7702,2.10604,0.69176,1.0,0.65,1.4480500000000005,1.3398,1.5063384615384616,1.587505,0.7,1.42897,0.7,1.327675,0.55,4.0,pilot_same_day,ARIWYNIH12MLF,6
0.9962,1.0,0.8333333333333334,1.7623166666666668,1.9016,1.73446,1.03564,1.0,0.75,1.5786783333333336,1.5476133333333335,1.5890333333333333,1.5062950000000002,0.85,1.548585,0.75,1.681155,0.65,3.0,pilot_same_day,A3J4YYW1M62T39,6
0.6923,1.0,0.5,1.6803666666666668,2.460633333333333,0.9001,0.7331199999999999,1.0,0.65,2.0561416666666665,2.326980952380952,1.9103051282051284,2.109695,0.75,1.73821,0.6,2.32052,0.6,6.0,pilot_same_day,AH7Z2M3KSQ4DW,6
0.6404,1.0,0.8333333333333334,1.569516666666667,1.9325,1.49692,0.6158750000000001,0.8,0.8,1.754395,1.806125,1.7414625,1.699485,0.85,1.61424,0.9,1.94946,0.65,6.0,pilot_same_day,A37R0JYAB3QEX9,6
2.1912,1.0,0.5,2.1014833333333334,2.1883,2.0146666666666664,1.88404,1.0,0.6833333333333333,2.636753333333333,2.618768421052632,2.645087804878049,2.55026,0.85,2.697195,0.75,2.662805,0.45,9.0,pilot_same_day,A222GZB608T1B8,6
2.239,1.0,1.0,2.9879999999999995,,2.988,1.70575,0.8,0.6333333333333333,2.7708,2.6813636363636366,2.822578947368421,2.7444,0.85,3.07795,0.7,2.49005,0.35,4.0,pilot_same_day,A2HJKL3641S7R,6
1.7057,1.0,0.8333333333333334,2.5204166666666663,2.3148,2.56154,1.4772999999999998,1.0,0.7166666666666667,2.3986000000000005,2.685235294117647,2.2852790697674417,2.16441,0.75,2.56432,0.55,2.46707,0.85,4.0,pilot_same_day,A3KXM8LSH21DYR,6
2.89573,1.0,0.6666666666666666,1.2922258333333334,1.8556825,1.0104975,0.625858,1.0,0.7333333333333333,0.9582546666666668,1.0422340625,0.9277167045454546,0.9445285,0.75,0.94227925,0.7,0.98795625,0.75,4.0,pilot_same_day,A1ENQOWFVY6FX9,6
1.3192,1.0,1.0,2.7387,,2.7387,1.25534,1.0,0.6333333333333333,2.036693333333333,2.36035,1.8493131578947368,2.41144,0.55,1.839985,0.85,1.858655,0.5,6.0,pilot_same_day,A2W2UF6S3WG0KI,6
1.715,1.0,0.6666666666666666,2.4108333333333336,3.515,1.85875,1.7945,0.8,0.6166666666666667,2.0801000000000003,2.1703478260869566,2.024,2.0851,0.75,2.04245,0.45,2.11275,0.65,4.0,pilot_same_day,ACUK17I51KVXF,7
0.8747,1.0,0.6666666666666666,4.5423,8.13715,2.744875,1.07062,1.0,0.7333333333333333,2.086355,2.1830875,2.0511795454545454,2.1116900000000003,0.9,2.14187,0.6,2.0055050000000003,0.7,5.0,pilot_same_day,AW9ODYOD9PYHX,7
0.6929,1.0,1.0,1.67365,,1.67365,0.6151,1.0,0.9833333333333332,1.7836383333333332,1.8173,1.7830677966101691,1.836655,0.95,1.671005,1.0,1.843255,1.0,3.0,pilot_same_day,A1SHLWKA0UH1IS,7
1.206,1.0,0.8333333333333334,3.4616666666666664,2.46,3.662,1.8014,1.0,0.5666666666666667,2.0311833333333333,1.895,2.1353235294117647,2.16415,0.5,2.07395,0.45,1.85545,0.75,3.0,pilot_same_day,AFT9JOHMU11KY,7
1.588,1.0,0.8333333333333334,3.432500000000001,4.001,3.3188000000000004,1.1434,1.0,0.8333333333333334,3.834316666666667,5.8912,3.42294,2.98085,0.95,3.906200000000001,0.75,4.6159,0.8,4.0,pilot_same_day,A1N37RFT8OXBNN,7
0.7993,1.0,0.6666666666666666,1.5923,1.8342,1.4713500000000002,0.6017,1.0,0.65,2.37446,2.576223809523809,2.265817948717949,2.266,0.6,2.419765,0.7,2.437615,0.65,10.0,pilot_same_day,AB09F0Q4T10TE,7
2.0427,1.0,0.6666666666666666,2.1857833336666666,1.7778000005,2.38977500025,1.4383000002,1.0,0.7,1.7544750000166665,1.6321666666666668,1.8068928571666667,1.72047,0.75,1.98485000005,0.75,1.558105,0.6,11.0,pilot_same_day,A1F0VEHWK3IAF4,7
1.0689,1.0,0.5,2.7261666666666664,2.9288333333333334,2.5235,1.22754,1.0,0.7666666666666667,2.048528333333333,2.317671428571429,1.9666152173913043,2.10192,0.8,2.107665,0.7,1.936,0.8,7.0,pilot_same_day,A1JT6ZF5PMQBM1,7
0.7878,1.0,1.0,1.3052166666666667,,1.3052166666666667,0.6418200000000001,1.0,0.8333333333333334,1.5403066666666665,1.75552,1.4972640000000002,1.47208,0.85,1.522175,0.9,1.6266649999999998,0.75,6.0,pilot_same_day,A3QYA7EFCS7BA2,7
2.652,1.0,0.8333333333333334,3.458,1.574,3.8348,1.2804,1.0,0.7,1.5095833333333333,1.542,1.4956904761904763,1.45165,0.75,1.4118,0.65,1.6652999999999998,0.7,4.0,pilot_same_day,A3EWKKJTP2GY2L,7
0.887,1.0,0.8333333333333334,2.1374833333333334,2.6671,2.03156,1.251675,0.8,0.8,2.2790283333,2.0630333335,2.33302708325,2.669025,0.95,1.89557499985,0.75,2.27248500005,0.7,7.0,pilot_same_day,A2KLIBLDVDV144,7
0.915099999,1.0,1.0,1.536466666833333,,1.536466666833333,1.5369199999999998,1.0,0.6333333333333333,1.920958333333333,1.8316000000909087,1.9726921052105264,1.89197,0.6,1.94829000005,0.6,1.92261499995,0.7,4.0,pilot_same_day,AGB6853RIDWJ8,7
