,req1,req2,req3
AUSTRALASIAN_FIGBIRD_2.jpg,24,1,5
AUSTRALASIAN_FIGBIRD_3.jpg,2,5,35
AUSTRALASIAN_FIGBIRD_4.jpg,0,1,20
AUSTRALASIAN_FIGBIRD_5.jpg,0,41,6
AUSTRAL_CANASTERO_1.jpg,0,63,34
AUSTRAL_CANASTERO_2.jpg,0,9,14
AUSTRAL_CANASTERO_3.jpg,0,39,76
AUSTRAL_CANASTERO_4.jpg,0,51,146
AUSTRAL_CANASTERO_5.jpg,0,28,46
AVADAVAT_1.jpg,0,65,11
AVADAVAT_2.jpg,0,14,76
AVADAVAT_3.jpg,0,26,68
AVADAVAT_4.jpg,0,57,98
AVADAVAT_5.jpg,0,42,90
AZARAS_SPINETAIL_1.jpg,0,4,13
AZARAS_SPINETAIL_2.jpg,0,22,17
AZARAS_SPINETAIL_3.jpg,0,45,159
AZARAS_SPINETAIL_4.jpg,0,11,87
AZARAS_SPINETAIL_5.jpg,0,9,33
AZURE_BREASTED_PITTA_1.jpg,0,39,155
AZURE_BREASTED_PITTA_2.jpg,4,1,5
AZURE_BREASTED_PITTA_3.jpg,0,32,135
AZURE_BREASTED_PITTA_4.jpg,0,15,263
AZURE_BREASTED_PITTA_5.jpg,9,42,76
AZURE_JAY_1.jpg,0,82,48
AZURE_JAY_2.jpg,0,30,37
AZURE_JAY_3.jpg,0,45,148
AZURE_JAY_4.jpg,0,24,20
AZURE_JAY_5.jpg,0,25,130
AZURE_TANAGER_1.jpg,0,29,148
AZURE_TANAGER_2.jpg,0,84,105
AZURE_TANAGER_3.jpg,0,59,55
AZURE_TANAGER_4.jpg,0,49,75
AZURE_TANAGER_5.jpg,0,73,150
AZURE_TIT_1.jpg,0,11,125
AZURE_TIT_2.jpg,0,1,107
AZURE_TIT_3.jpg,27,32,118
AZURE_TIT_4.jpg,3,38,81
AZURE_TIT_5.jpg,0,74,201
BAIKAL_TEAL_1.jpg,15,4,1
BAIKAL_TEAL_2.jpg,0,55,23
BAIKAL_TEAL_3.jpg,0,42,6
BAIKAL_TEAL_4.jpg,0,69,71
BAIKAL_TEAL_5.jpg,0,63,94
BALD_EAGLE_1.jpg,0,39,6
BALD_EAGLE_2.jpg,2,2,95
BALD_EAGLE_3.jpg,0,0,20
BALD_EAGLE_4.jpg,0,70,9
BALD_EAGLE_5.jpg,0,10,5
BALD_IBIS_1.jpg,0,1,12
BALD_IBIS_2.jpg,3,37,87
BALD_IBIS_3.jpg,0,12,77
BALD_IBIS_4.jpg,0,2,71
BALD_IBIS_5.jpg,0,15,40
BALI_STARLING_1.jpg,3,147,72
BALI_STARLING_2.jpg,2,112,77
BALI_STARLING_3.jpg,0,33,170
BALI_STARLING_4.jpg,0,56,83
BALI_STARLING_5.jpg,0,34,36
BALTIMORE_ORIOLE_1.jpg,0,33,212
BALTIMORE_ORIOLE_2.jpg,4,7,70
BALTIMORE_ORIOLE_3.jpg,0,80,133
BALTIMORE_ORIOLE_4.jpg,0,7,221
BALTIMORE_ORIOLE_5.jpg,0,30,158
BANANAQUIT_1.jpg,25,14,110
BANANAQUIT_2.jpg,22,17,230
BANANAQUIT_3.jpg,24,17,112
BANANAQUIT_4.jpg,1,53,131
BANANAQUIT_5.jpg,11,9,23
BANDED_BROADBILL_1.jpg,7,14,171
BANDED_BROADBILL_2.jpg,1,22,141
BANDED_BROADBILL_3.jpg,1,3,95
BANDED_BROADBILL_4.jpg,0,17,46
BANDED_BROADBILL_5.jpg,0,3,27
BANDED_PITA_1.jpg,0,60,60
BANDED_PITA_2.jpg,0,21,118
BANDED_PITA_3.jpg,0,10,44
BANDED_PITA_4.jpg,0,55,13
BANDED_PITA_5.jpg,0,81,453
BANDED_STILT_1.jpg,0,15,11
BANDED_STILT_2.jpg,0,1,18
BANDED_STILT_3.jpg,0,5,16
BANDED_STILT_4.jpg,0,9,11
BANDED_STILT_5.jpg,0,28,13
BAND_TAILED_GUAN_1.jpg,0,5,17
BAND_TAILED_GUAN_2.jpg,0,12,1
BAND_TAILED_GUAN_3.jpg,0,5,71
BAND_TAILED_GUAN_4.jpg,0,48,20
BAND_TAILED_GUAN_5.jpg,0,17,6
BAR-TAILED_GODWIT_1.jpg,0,56,6
BAR-TAILED_GODWIT_2.jpg,0,21,8
BAR-TAILED_GODWIT_3.jpg,0,43,89
BAR-TAILED_GODWIT_4.jpg,0,19,6
BAR-TAILED_GODWIT_5.jpg,0,30,8
BARN_OWL_1.jpg,5,72,25
BARN_OWL_2.jpg,0,16,1
BARN_OWL_3.jpg,1,8,4
BARN_OWL_4.jpg,0,108,41
BARN_OWL_5.jpg,0,29,14
BARN_SWALLOW_1.jpg,0,21,381
BARN_SWALLOW_2.jpg,0,10,233
BARN_SWALLOW_3.jpg,0,40,69
BARN_SWALLOW_4.jpg,0,7,51
BARN_SWALLOW_5.jpg,1,7,201
BARRED_PUFFBIRD_1.jpg,0,13,22
BARRED_PUFFBIRD_2.jpg,6,6,12
BARRED_PUFFBIRD_3.jpg,52,12,39
BARRED_PUFFBIRD_4.jpg,0,8,2
BARRED_PUFFBIRD_5.jpg,0,12,5
BARROWS_GOLDENEYE_1.jpg,0,15,38
BARROWS_GOLDENEYE_2.jpg,0,11,7
BARROWS_GOLDENEYE_3.jpg,0,4,83
BARROWS_GOLDENEYE_4.jpg,0,81,50
BARROWS_GOLDENEYE_5.jpg,0,4,12
BAY-BREASTED_WARBLER_1.jpg,0,17,57
BAY-BREASTED_WARBLER_2.jpg,1,13,121
BAY-BREASTED_WARBLER_3.jpg,6,24,74
BAY-BREASTED_WARBLER_4.jpg,10,45,112
BAY-BREASTED_WARBLER_5.jpg,0,18,145
BEARDED_BARBET_1.jpg,0,9,72
BEARDED_BARBET_2.jpg,0,10,110
BEARDED_BARBET_3.jpg,2,2,56
BEARDED_BARBET_4.jpg,0,33,257
BEARDED_BARBET_5.jpg,0,24,77
BEARDED_BELLBIRD_1.jpg,0,33,389
BEARDED_BELLBIRD_2.jpg,5,27,252
BEARDED_BELLBIRD_3.jpg,17,22,134
BEARDED_BELLBIRD_4.jpg,0,12,39
BEARDED_BELLBIRD_5.jpg,0,28,273
BEARDED_REEDLING_1.jpg,0,5,129
BEARDED_REEDLING_2.jpg,0,2,115
BEARDED_REEDLING_3.jpg,0,6,110
BEARDED_REEDLING_4.jpg,0,8,11
BEARDED_REEDLING_5.jpg,0,27,152
BELTED_KINGFISHER_1.jpg,0,6,83
BELTED_KINGFISHER_2.jpg,0,8,173
BELTED_KINGFISHER_3.jpg,0,11,158
BELTED_KINGFISHER_4.jpg,0,1,176
BELTED_KINGFISHER_5.jpg,0,5,314
BIRD_OF_PARADISE_1.jpg,0,0,0
BIRD_OF_PARADISE_2.jpg,0,0,3
BIRD_OF_PARADISE_3.jpg,0,1,0
BIRD_OF_PARADISE_4.jpg,0,8,21
BIRD_OF_PARADISE_5.jpg,0,37,24
BLACK-CAPPED_CHICKADEE_1.jpg,0,59,182
BLACK-CAPPED_CHICKADEE_2.jpg,0,52,66
BLACK-CAPPED_CHICKADEE_3.jpg,0,63,171
BLACK-CAPPED_CHICKADEE_4.jpg,0,65,266
BLACK-CAPPED_CHICKADEE_5.jpg,0,62,212
BLACK-NECKED_GREBE_1.jpg,0,1,2
BLACK-NECKED_GREBE_2.jpg,0,10,65
BLACK-NECKED_GREBE_3.jpg,0,8,52
BLACK-NECKED_GREBE_4.jpg,0,1,16
BLACK-NECKED_GREBE_5.jpg,0,3,22
BLACK-THROATED_SPARROW_1.jpg,0,9,30
BLACK-THROATED_SPARROW_2.jpg,0,33,42
BLACK-THROATED_SPARROW_3.jpg,0,21,74
BLACK-THROATED_SPARROW_4.jpg,0,37,84
BLACK-THROATED_SPARROW_5.jpg,0,5,152
BLACKBURNIAM_WARBLER_1.jpg,0,38,150
BLACKBURNIAM_WARBLER_2.jpg,0,0,64
BLACKBURNIAM_WARBLER_3.jpg,29,3,76
BLACKBURNIAM_WARBLER_4.jpg,9,37,134
BLACKBURNIAM_WARBLER_5.jpg,0,4,127
BLACK_&_YELLOW_BROADBILL_1.jpg,0,3,48
BLACK_&_YELLOW_BROADBILL_2.jpg,0,26,285
BLACK_&_YELLOW_BROADBILL_3.jpg,5,7,42
BLACK_&_YELLOW_BROADBILL_4.jpg,0,27,71
BLACK_&_YELLOW_BROADBILL_5.jpg,0,11,182
BLACK_BAZA_1.jpg,0,8,47
BLACK_BAZA_2.jpg,0,0,10
BLACK_BAZA_3.jpg,0,82,118
BLACK_BAZA_4.jpg,0,17,295
BLACK_BAZA_5.jpg,0,12,21
BLACK_COCKATO_1.jpg,0,32,16
BLACK_COCKATO_2.jpg,0,0,133
BLACK_COCKATO_3.jpg,0,48,7
BLACK_COCKATO_4.jpg,0,5,16
BLACK_COCKATO_5.jpg,0,27,37
BLACK_FRANCOLIN_1.jpg,0,40,8
BLACK_FRANCOLIN_2.jpg,0,55,29
BLACK_FRANCOLIN_3.jpg,0,65,11
BLACK_FRANCOLIN_4.jpg,1,28,1
BLACK_FRANCOLIN_5.jpg,0,10,2
BLACK_SKIMMER_1.jpg,0,0,170
BLACK_SKIMMER_2.jpg,0,7,19
BLACK_SKIMMER_3.jpg,0,1,153
BLACK_SKIMMER_4.jpg,0,3,159
BLACK_SKIMMER_5.jpg,0,4,48
BLACK_SWAN_1.jpg,0,4,5
BLACK_SWAN_2.jpg,0,12,18
BLACK_SWAN_3.jpg,1,0,6
BLACK_SWAN_4.jpg,0,9,10
BLACK_SWAN_5.jpg,0,2,0
BLACK_TAIL_CRAKE_1.jpg,0,4,8
BLACK_TAIL_CRAKE_2.jpg,0,2,8
BLACK_TAIL_CRAKE_3.jpg,0,41,3
BLACK_TAIL_CRAKE_4.jpg,2,26,7
BLACK_TAIL_CRAKE_5.jpg,0,26,0
BLACK_THROATED_BUSHTIT_1.jpg,7,8,92
BLACK_THROATED_BUSHTIT_2.jpg,0,1,24
BLACK_THROATED_BUSHTIT_3.jpg,0,1,19
BLACK_THROATED_BUSHTIT_4.jpg,0,10,152
BLACK_THROATED_BUSHTIT_5.jpg,0,4,101
BLACK_THROATED_WARBLER_1.jpg,0,13,97
BLACK_THROATED_WARBLER_2.jpg,0,18,25
BLACK_THROATED_WARBLER_3.jpg,0,20,44
BLACK_THROATED_WARBLER_4.jpg,13,60,139
BLACK_THROATED_WARBLER_5.jpg,0,56,52
BLACK_VENTED_SHEARWATER_1.jpg,0,1,2
BLACK_VENTED_SHEARWATER_2.jpg,1,4,2
BLACK_VENTED_SHEARWATER_3.jpg,0,0,7
BLACK_VENTED_SHEARWATER_4.jpg,0,67,3
BLACK_VENTED_SHEARWATER_5.jpg,0,0,0
BLACK_VULTURE_1.jpg,0,95,21
BLACK_VULTURE_2.jpg,0,2,72
BLACK_VULTURE_3.jpg,0,19,117
BLACK_VULTURE_4.jpg,0,81,1
BLACK_VULTURE_5.jpg,0,5,5
BLONDE_CRESTED_WOODPECKER_1.jpg,0,3,45
BLONDE_CRESTED_WOODPECKER_2.jpg,0,23,97
BLONDE_CRESTED_WOODPECKER_3.jpg,0,24,291
BLONDE_CRESTED_WOODPECKER_4.jpg,0,5,198
BLONDE_CRESTED_WOODPECKER_5.jpg,0,12,121
BLOOD_PHEASANT_1.jpg,0,10,7
BLOOD_PHEASANT_2.jpg,0,20,45
BLOOD_PHEASANT_3.jpg,0,86,49
BLOOD_PHEASANT_4.jpg,0,17,26
BLOOD_PHEASANT_5.jpg,0,34,57
BLUE_COAU_1.jpg,3,37,193
BLUE_COAU_2.jpg,0,47,5
BLUE_COAU_3.jpg,0,94,23
BLUE_COAU_4.jpg,0,56,93
BLUE_COAU_5.jpg,0,52,88
BLUE_DACNIS_1.jpg,0,40,67
BLUE_DACNIS_2.jpg,0,35,30
BLUE_DACNIS_3.jpg,0,92,73
BLUE_DACNIS_4.jpg,0,41,163
BLUE_DACNIS_5.jpg,0,53,71
BLUE_GROUSE_1.jpg,5,4,2
BLUE_GROUSE_2.jpg,4,1,0
BLUE_GROUSE_3.jpg,0,9,10
BLUE_GROUSE_4.jpg,0,65,3
BLUE_GROUSE_5.jpg,0,2,20
BLUE_HERON_1.jpg,0,22,6
BLUE_HERON_2.jpg,0,11,10
BLUE_HERON_3.jpg,0,3,1
BLUE_HERON_4.jpg,0,20,4
BLUE_HERON_5.jpg,0,1,21
BLUE_MALKOHA_1.jpg,0,7,185
BLUE_MALKOHA_2.jpg,0,3,40
BLUE_MALKOHA_3.jpg,0,44,23
BLUE_MALKOHA_4.jpg,0,23,7
BLUE_MALKOHA_5.jpg,0,50,6
BLUE_THROATED_TOUCANET_1.jpg,72,8,71
BLUE_THROATED_TOUCANET_2.jpg,0,37,162
BLUE_THROATED_TOUCANET_3.jpg,15,21,157
BLUE_THROATED_TOUCANET_4.jpg,1,20,33
BLUE_THROATED_TOUCANET_5.jpg,8,7,127
BOBOLINK_1.jpg,1,13,258
BOBOLINK_2.jpg,0,31,38
BOBOLINK_3.jpg,0,16,97
BOBOLINK_4.jpg,0,23,106
BOBOLINK_5.jpg,15,45,76
BORNEAN_BRISTLEHEAD_1.jpg,0,6,43
BORNEAN_BRISTLEHEAD_2.jpg,0,32,98
BORNEAN_BRISTLEHEAD_3.jpg,0,18,42
BORNEAN_BRISTLEHEAD_4.jpg,3,8,40
BORNEAN_BRISTLEHEAD_5.jpg,0,4,83
BORNEAN_LEAFBIRD_1.jpg,0,39,173
BORNEAN_LEAFBIRD_2.jpg,3,42,151
BORNEAN_LEAFBIRD_3.jpg,6,29,187
BORNEAN_LEAFBIRD_4.jpg,0,1,189
BORNEAN_LEAFBIRD_5.jpg,7,35,210
BORNEAN_PHEASANT_1.jpg,0,23,0
BORNEAN_PHEASANT_2.jpg,0,46,0
BORNEAN_PHEASANT_3.jpg,0,0,0
BORNEAN_PHEASANT_4.jpg,0,2,0
BORNEAN_PHEASANT_5.jpg,0,1,1
BRANDT_CORMARANT_1.jpg,0,3,0
BRANDT_CORMARANT_2.jpg,1,9,55
BRANDT_CORMARANT_3.jpg,0,5,6
BRANDT_CORMARANT_4.jpg,0,0,0
BRANDT_CORMARANT_5.jpg,0,1,39
BREWERS_BLACKBIRD_1.jpg,0,16,11
BREWERS_BLACKBIRD_2.jpg,0,9,1
BREWERS_BLACKBIRD_3.jpg,54,18,36
BREWERS_BLACKBIRD_4.jpg,0,33,42
BREWERS_BLACKBIRD_5.jpg,0,58,150
BROWN_CREPPER_1.jpg,0,0,43
BROWN_CREPPER_2.jpg,0,23,40
BROWN_CREPPER_3.jpg,0,1,9
BROWN_CREPPER_4.jpg,0,3,0
BROWN_CREPPER_5.jpg,0,0,6
BROWN_NOODY_1.jpg,0,31,24
BROWN_NOODY_2.jpg,0,32,1
BROWN_NOODY_3.jpg,0,185,131
BROWN_NOODY_4.jpg,0,46,74
BROWN_NOODY_5.jpg,0,33,88
BROWN_THRASHER_1.jpg,36,56,49
BROWN_THRASHER_2.jpg,0,21,120
BROWN_THRASHER_3.jpg,60,62,67
BROWN_THRASHER_4.jpg,0,51,9
BROWN_THRASHER_5.jpg,0,15,17
BUFFLEHEAD_1.jpg,0,1,45
BUFFLEHEAD_2.jpg,0,3,30
BUFFLEHEAD_3.jpg,0,6,5
BUFFLEHEAD_4.jpg,0,8,50
BUFFLEHEAD_5.jpg,0,10,58
BULWERS_PHEASANT_1.jpg,0,1,5
BULWERS_PHEASANT_2.jpg,0,1,1
BULWERS_PHEASANT_3.jpg,0,0,14
BULWERS_PHEASANT_4.jpg,0,1,6
BULWERS_PHEASANT_5.jpg,0,0,0
BURCHELLS_COURSER_1.jpg,7,6,4
BURCHELLS_COURSER_2.jpg,0,81,15
BURCHELLS_COURSER_3.jpg,0,6,4
BURCHELLS_COURSER_4.jpg,0,16,10
BURCHELLS_COURSER_5.jpg,0,10,21
BUSH_TURKEY_1.jpg,0,0,23
BUSH_TURKEY_2.jpg,0,2,42
BUSH_TURKEY_3.jpg,26,25,15
BUSH_TURKEY_4.jpg,1,3,0
BUSH_TURKEY_5.jpg,0,6,43
CAATINGA_CACHOLOTE_1.jpg,0,8,16
CAATINGA_CACHOLOTE_2.jpg,0,21,403
CAATINGA_CACHOLOTE_3.jpg,0,39,21
CAATINGA_CACHOLOTE_4.jpg,0,35,334
CAATINGA_CACHOLOTE_5.jpg,1,33,47
CACTUS_WREN_1.jpg,0,81,285
CACTUS_WREN_2.jpg,0,14,32
CACTUS_WREN_3.jpg,0,60,104
CACTUS_WREN_4.jpg,0,58,55
CACTUS_WREN_5.jpg,0,20,3
CALIFORNIA_CONDOR_1.jpg,0,2,12
CALIFORNIA_CONDOR_2.jpg,0,1,120
CALIFORNIA_CONDOR_3.jpg,0,20,3
CALIFORNIA_CONDOR_4.jpg,0,8,0
CALIFORNIA_CONDOR_5.jpg,0,2,11
CALIFORNIA_GULL_1.jpg,0,133,75
CALIFORNIA_GULL_2.jpg,0,132,19
CALIFORNIA_GULL_3.jpg,0,78,9
CALIFORNIA_GULL_4.jpg,0,88,35
CALIFORNIA_GULL_5.jpg,0,102,20
CALIFORNIA_QUAIL_1.jpg,0,60,7
CALIFORNIA_QUAIL_2.jpg,0,90,52
CALIFORNIA_QUAIL_3.jpg,2,28,0
CALIFORNIA_QUAIL_4.jpg,0,89,14
CALIFORNIA_QUAIL_5.jpg,0,57,10
CAMPO_FLICKER_1.jpg,0,23,84
CAMPO_FLICKER_2.jpg,0,28,54
CAMPO_FLICKER_3.jpg,0,19,22
CAMPO_FLICKER_4.jpg,0,19,26
CAMPO_FLICKER_5.jpg,0,16,38
