,Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-took part in a tapseq task,UPDATE-took part in a tapseq task,CURRENT-participated in the past,UPDATE-participated in the past,CURRENT-eligible for next step memory rep,UPDATE-eligible for next step memory rep,CURRENT-eligible for memory testing 1 week,UPDATE-eligible for memory testing 1 week,CURRENT-completed memory rep,UPDATE-completed memory rep,CURRENT-completed memory encoding 24h,UPDATE-completed memory encoding 24h,CURRENT-completed encoding successfully ,UPDATE-completed encoding successfully ,CURRENT-completed day5,UPDATE-completed day5,CURRENT-completed day4,UPDATE-completed day4,CURRENT-completed day3,UPDATE-completed day3,CURRENT-completed day2,UPDATE-completed day2,CURRENT-completed day1,UPDATE-completed day1,CURRENT-Completed My Experiment Already,UPDATE-Completed My Experiment Already,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason,demo_demo_accuracy,demo_arrow_correct,encoding_arrow_accuracy,testing_longest_response_strike,not_too_slow,not_too_Fast,sufficient_test_acc,WorkerId
59,A13G7ES1XTH5YG,https://requester.mturk.com/workers/A13G7ES1XTH5YG,4,4,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,
60,A13G9JEAEZQPUG,https://requester.mturk.com/workers/A13G9JEAEZQPUG,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
61,A13JTA4FWDNNC7,https://requester.mturk.com/workers/A13JTA4FWDNNC7,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,1,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,
62,A13OVBVPYV74T4,https://requester.mturk.com/workers/A13OVBVPYV74T4,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
63,A13UMY3NL33676,https://requester.mturk.com/workers/A13UMY3NL33676,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,
64,A13WTEQ06V3B6D,https://requester.mturk.com/workers/A13WTEQ06V3B6D,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
65,A13Y5SUT236JE4,https://requester.mturk.com/workers/A13Y5SUT236JE4,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,
66,A13Z2ERE65VKFW,https://requester.mturk.com/workers/A13Z2ERE65VKFW,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,
67,A141BEGMEHN31L,https://requester.mturk.com/workers/A141BEGMEHN31L,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,,1,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,
68,A142FFFX25RI2B,https://requester.mturk.com/workers/A142FFFX25RI2B,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,,1,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,
69,A143XRCI1YXAFE,https://requester.mturk.com/workers/A143XRCI1YXAFE,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
70,A144OK7GGOQZKS,https://requester.mturk.com/workers/A144OK7GGOQZKS,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,
71,A147VU5FL0JL70,https://requester.mturk.com/workers/A147VU5FL0JL70,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
72,A149YZJBFRDWBJ,https://requester.mturk.com/workers/A149YZJBFRDWBJ,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,1.0,,,,1.0,1,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,
73,A14E1BJEBDKBPF,https://requester.mturk.com/workers/A14E1BJEBDKBPF,5,5,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,
74,A14EYTLSMJRPUK,https://requester.mturk.com/workers/A14EYTLSMJRPUK,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
75,A14LC364ZHJ5R1,https://requester.mturk.com/workers/A14LC364ZHJ5R1,3,3,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,
76,A14LXHJAWRQWR6,https://requester.mturk.com/workers/A14LXHJAWRQWR6,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
77,A14SMQS3N1QWGG,https://requester.mturk.com/workers/A14SMQS3N1QWGG,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,1.0,,,,Never Blocked,,,,,,,,,,
78,A14WLAP6TCEKO0,https://requester.mturk.com/workers/A14WLAP6TCEKO0,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
79,A14XK2ZCR1E8FD,https://requester.mturk.com/workers/A14XK2ZCR1E8FD,2,2,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
80,A14XLNPSMH6CIA,https://requester.mturk.com/workers/A14XLNPSMH6CIA,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
81,A14YBHS8YBLDAG,https://requester.mturk.com/workers/A14YBHS8YBLDAG,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
82,A14Z5016RN01XM,https://requester.mturk.com/workers/A14Z5016RN01XM,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
83,A14ZFK4M24LEE2,https://requester.mturk.com/workers/A14ZFK4M24LEE2,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
84,A1505ZMMJAAZE1,https://requester.mturk.com/workers/A1505ZMMJAAZE1,3,3,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,
85,A150GMV1YQWWB3,https://requester.mturk.com/workers/A150GMV1YQWWB3,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
86,A15340BRCER2UO,https://requester.mturk.com/workers/A15340BRCER2UO,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
87,A153HLAVH5FILS,https://requester.mturk.com/workers/A153HLAVH5FILS,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
88,A154UU4I2EW2L4,https://requester.mturk.com/workers/A154UU4I2EW2L4,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,,1,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,
89,A1561P9VVA3C1C,https://requester.mturk.com/workers/A1561P9VVA3C1C,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
90,A157L6Z8QU3SDE,https://requester.mturk.com/workers/A157L6Z8QU3SDE,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
91,A15B4KZ3S04HS8,https://requester.mturk.com/workers/A15B4KZ3S04HS8,2,2,100.00%,2,2,100.00%,0,0,0.00%,,,,,1.0,,,,1.0,1,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,
92,A15CQ19I1V6V0J,https://requester.mturk.com/workers/A15CQ19I1V6V0J,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
93,A15N4VW2HOYJ02,https://requester.mturk.com/workers/A15N4VW2HOYJ02,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
94,A15PS12R80CWTU,https://requester.mturk.com/workers/A15PS12R80CWTU,1,1,100.00%,1,1,100.00%,0,0,0.00%,,,,,,,,,1.0,1,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,
95,A15PWFOPKS1O02,https://requester.mturk.com/workers/A15PWFOPKS1O02,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,1.0,,Never Blocked,,,,,,,,,,
96,A15QR5VXB9OE0U,https://requester.mturk.com/workers/A15QR5VXB9OE0U,3,3,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,1.0,,1.0,,1.0,,,,Never Blocked,,,,,,,,,,
97,A15T9HDPHV3X7Q,https://requester.mturk.com/workers/A15T9HDPHV3X7Q,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
98,A15UL5WCZIZCAV,https://requester.mturk.com/workers/A15UL5WCZIZCAV,0,0,0.00%,0,0,0.00%,0,0,0.00%,,,,,,,,,,1,,,,,,,,,,,,,,,,,Never Blocked,,,,,,,,,,
99,A15UQNI8KM9WET,https://requester.mturk.com/workers/A15UQNI8KM9WET,1,1,100.00%,0,0,0.00%,0,0,0.00%,1.0,,,,,,,,100.0,1,,,,,0.0,,0.0,,,,,,,,,,Never Blocked,,,,,,,,,,
